ID;timestamp;phase;block;trial;ID_item;img;training;est;true;rt_ms;response_duration_ms;time_stim_shown;first_input;input_values;input_times;strategy;knowledge;quality;cheated;age;gender;undisturbed;undisturbed_specific;technical_problems;technical_problems_specific;domain
qza2yw7qkddd;2025-04-24;training;1;0;Apple turnover;Bild65.png;1;10,0;34,0;32372,099999952305;154;284922,700;299240;2, 0, NA, NA, 1, 0;299240, 299755, 314042, 314204, 314925, 315392;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;1;Chickpeas;Bild72.png;1;50,0;16,0;53967,399999904621;86;326632,200;333038;2, NA, 5, NA, 5, 0;333038, 334535, 334971, 371388, 378357, 378774;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;2;Mushrooms;Bild22.png;1;20,0;1,0;8702,799999904644;148;392927,800;399376;2, 0;399376, 399853;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;3;Nutella;Bild54.png;1;70,0;57,0;7539,900000047695;140;406353,300;411620;7, 0;411620, 411916;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;4;Spaghetti;Bild1.png;1;80,0;28,0;4477,700000000012;84;416922,300;419209;8, 0;419209, 419449;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;5;Chicken;Bild53.png;1;7,0;2,0;6151,800000047660;103;428673,900;432904;7;432904;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;6;Rice cake;Bild79.png;1;80,0;77,0;5685,200000000012;123;438126,800;442138;8, 0;442138, 442450;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;7;Chocolate cake;Bild66.png;1;90,0;50,0;8717,799999952316;87;446938,500;449506;9, 0;449506, 449691;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;8;Oat flakes;Bild5.png;1;6,0;60,0;5684,300000095391;91;461988,100;465757;6;465757;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;9;Gummy bears;Bild59.png;1;77,0;77,0;7961,900000095367;86;474772,500;478176;8, 0, NA, NA, 7, 7;478176, 478421, 479545, 479687, 480303, 480449;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;10;Walnuts;Bild70.png;1;35,0;4,0;7967,400000000023;85;488198,100;492956;3, 5;492956, 493359;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
qza2yw7qkddd;2025-04-24;training;1;11;Corn;Bild16.png;1;90,0;11,0;7022,100000047707;72;500716,100;506229;9, 0;506229, 506439;Just the knowledge I have about those foods contents.;5;yes;no;32;female;yes;NA;no;NA;Food
